,identifiers,country,gender,age,stratum,education,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,PVMATH1,PVMATH2,PVMATH3,PVMATH4,PVMATH5
2177,NLD5280000NLD00021052800000008802178,NLD,2.0,15.5,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,650.8101,628.2209,660.9363,634.4524,702.9989
2178,NLD5280000NLD00021052800000008802179,NLD,2.0,15.92,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,606.177,656.8079,603.8402,612.4085,599.9455
2179,NLD5280000NLD00021052800000008802180,NLD,2.0,15.42,2.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,681.8118,666.2331,691.938,702.8431,718.4219
2180,NLD5280000NLD00021052800000008802181,NLD,2.0,15.25,2.0,6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,582.1857,659.3005,659.3005,656.9637,658.5216
2181,NLD5280000NLD00021052800000008802182,NLD,1.0,15.83,2.0,6,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,461.6062,506.0056,459.2694,499.7741,508.3424
2182,NLD5280000NLD00021052800000008802183,NLD,1.0,15.33,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,597.6866,594.5708,543.9399,545.4977,540.0452
2183,NLD5280000NLD00021052800000008802184,NLD,2.0,15.67,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,554.9229,522.2075,515.1971,537.0073,543.2388
2184,NLD5280000NLD00021052800000008802185,NLD,2.0,15.92,2.0,6,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,671.6856,681.8118,676.3592,712.9693,682.5907
2185,NLD5280000NLD00021052800000008802186,NLD,2.0,15.5,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,583.8994,577.6679,530.9316,562.868,522.3633
2186,NLD5280000NLD00021052800000008802187,NLD,1.0,16.17,2.0,6,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,579.3815,580.9394,581.7183,592.6235,585.613
